,chip,y,x,n_cells,label
337,0,4500.910150474781,16774.22986531209,6,338.0
338,0,4499.798027878893,17307.33052374559,3,339.0
339,0,4497.923354871205,17840.053136306233,5,340.0
340,0,4497.209592242059,18369.56552040786,8,341.0
341,0,4496.604441135038,18906.6480349098,2,342.0
342,0,4495.395569372626,19439.7316692294,4,343.0
343,0,4494.313207799698,19972.584944198563,6,344.0
344,0,4492.727334289362,20514.296743739786,3,345.0
345,0,4491.466972956817,21038.78793720385,5,346.0
346,0,4974.161209402017,1063.615634414682,2,347.0
347,0,4972.600616389938,1588.1206587516044,3,348.0
348,0,4973.288957922896,2122.7134200307555,0,349.0
349,0,4971.374497430797,2656.30242914038,2,350.0
350,0,4969.971305904339,3188.684640605571,3,351.0
351,0,4969.56285604034,3722.2641378562366,2,352.0
352,0,4968.734048789652,4254.871235577137,4,353.0
353,0,4967.570011076614,4787.719770196904,3,354.0
354,0,4966.443527232173,5321.0759349535365,3,355.0
355,0,4965.850407513555,5850.201124877193,1,356.0
356,0,4964.166467556816,6379.819990101145,2,357.0
357,0,4963.701852659015,6916.276746746558,6,358.0
358,0,4962.925700809706,7452.993339254368,5,359.0
359,0,4960.997713982296,7978.876571481342,4,360.0
360,0,4959.836320838822,8519.184622490102,0,361.0
361,0,4958.99102779949,9041.349708163303,1,362.0
362,0,4957.846507455324,9574.452698786285,1,363.0
363,0,4956.421586474578,10107.801258833131,3,364.0
364,0,4955.275683287031,10640.903009422227,4,365.0
